numericId,alphaId,symbol,offline
186,ALPHA_186,"BLUE",false
183,ALPHA_183,"NAVX",false
181,ALPHA_181,"SCA",false
180,ALPHA_180,"PUFFER",false
178,ALPHA_178,"MOODENG",false
179,ALPHA_179,"GOAT",false
177,ALPHA_177,"DOOD",false
175,ALPHA_175,"gorilla",false
174,ALPHA_174,"OBOL",false
173,ALPHA_173,"ZKJ",false
169,ALPHA_169,"Jager",false
170,ALPHA_170,"DONKEY",false
168,ALPHA_168,"BOOP",false
164,ALPHA_164,"Anon",false
165,ALPHA_165,"BEETS",false
163,ALPHA_163,"SHADOW",false
153,ALPHA_153,"ZORA",false
154,ALPHA_154,"SKYAI",false
155,ALPHA_155,"TROLL",false
147,ALPHA_147,"EPT",false
148,ALPHA_148,"SPX",false
149,ALPHA_149,"Mog",false
150,ALPHA_150,"POPCAT",false
151,ALPHA_151,"CULT",false
144,ALPHA_144,"GM",false
142,ALPHA_142,"FAIR3",false
141,ALPHA_141,"PROMPT",false
140,ALPHA_140,"FHE",false
136,ALPHA_136,"ZETA",false
137,ALPHA_137,"SAFE",false
131,ALPHA_131,"PUMPBTC",false
132,ALPHA_132,"GRASS",false
134,ALPHA_134,"MEW",false
129,ALPHA_129,"Ghibli",false
130,ALPHA_130,"Ghibli",false
128,ALPHA_128,"KILO",false
125,ALPHA_125,"BUBB",false
124,ALPHA_124,"quq",false
121,ALPHA_121,"Mubarakah",false
118,ALPHA_118,"BR",false
111,ALPHA_111,"jellyjelly",false
113,ALPHA_113,"VINU",false
114,ALPHA_114,"AVL",false
104,ALPHA_104,"B3",false
105,ALPHA_105,"FLUID",false
106,ALPHA_106,"VVV",false
107,ALPHA_107,"TOKEN",false
109,ALPHA_109,"CPOOL",false
103,ALPHA_103,"BNBXBT",false
102,ALPHA_102,"SIREN",false
100,ALPHA_100,"Broccoli",false
98,ALPHA_98,"BROCCOLI",false
93,ALPHA_93,"AERO",false
88,ALPHA_88,"OLAS",false
85,ALPHA_85,"BID",false
83,ALPHA_83,"VINE",false
78,ALPHA_78,"PYTHIA",false
76,ALPHA_76,"VITA",false
70,ALPHA_70,"$PAAL",false
64,ALPHA_64,"pippin",false
58,ALPHA_58,"swarms",false
52,ALPHA_52,"SKI",false
51,ALPHA_51,"ALCH",false
50,ALPHA_50,"arc",false
49,ALPHA_49,"WHY",false
48,ALPHA_48,"APU",false
44,ALPHA_44,"BITCOIN",false
42,ALPHA_42,"AVAAI",false
41,ALPHA_41,"AITECH",false
32,ALPHA_32,"ZEREBRO",false
22,ALPHA_22,"KOGE",false
23,ALPHA_23,"BOB",false
24,ALPHA_24,"MGP",false
30,ALPHA_30,"ODOS",false
12,ALPHA_12,"AICell",false
16,ALPHA_16,"GRIFFAIN",false
19,ALPHA_19,"CLANKER",false
20,ALPHA_20,"LUNAI",false
6,ALPHA_6,"CKP",false
7,ALPHA_7,"GEAR",false
8,ALPHA_8,"SD",false
10,ALPHA_10,"Fartcoin",false
1,ALPHA_1,"KOMA",false
